Age,YearsAtCompany,MonthlyIncome,DistanceFromHome,JobLevel,PercentSalaryHike,PerformanceRating,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,Gender,Department,Education,MaritalStatus,JobRole,OverTime,BusinessTravel,target,PercentOfYearsInCurrentRole,YearsSincePromoOverTotalYearsRatio,SalaryHikeToIncome,SatisfactionToJobRoleAvg,SatisfactionToDepartmentAvg,DeptOvertimeRatio,DistanceGroup,AgeGroup,YearsAtCompanyPerformanceInteraction
43.0,36.0,18596.0,29.0,4.0,14.0,2.0,16.0,16.0,14.0,1.0,Male,HR,PhD,Divorced,Engineer,No,Travel_Rarely,1,0.4444444444444444,0.4444444444444444,0.0007528500752850075,equal,less,0.47465437788018433,Far,40-50,72.0
40.0,6.0,17341.0,30.0,4.0,11.0,3.0,5.0,5.0,3.0,3.0,Female,HR,Bachelors,Married,Technician,No,Non-Travel,0,0.8333333333333334,0.8333333333333334,0.0006343348134478981,equal,less,0.47465437788018433,Far,30-40,18.0
61.0,21.0,6801.0,36.0,3.0,18.0,3.0,13.0,11.0,8.0,1.0,Male,Development,PhD,Divorced,Manager,No,Non-Travel,1,0.6190476190476191,0.5238095238095238,0.002646669607410675,less,less,0.49280575539568344,Far,50+,63.0
56.0,3.0,17346.0,45.0,2.0,22.0,4.0,0.0,0.0,0.0,1.0,Male,Sales,Bachelors,Single,Engineer,Yes,Non-Travel,1,0.0,0.0,0.0012683039317421883,equal,less,0.48325892857142855,Very Far,50+,12.0
32.0,13.0,3758.0,6.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,Male,Support,High School,Single,Clerk,Yes,Travel_Frequently,0,0.0,0.0,0.0015965939329430547,less,less,0.48679678530424797,Close,30-40,13.0
21.0,33.0,7780.0,47.0,4.0,8.0,2.0,28.0,5.0,14.0,3.0,Male,Sales,Bachelors,Married,Engineer,No,Non-Travel,0,0.8484848484848485,0.15151515151515152,0.0010282776349614395,greater,greater,0.48325892857142855,Very Far,Under 30,66.0
46.0,22.0,13260.0,14.0,5.0,10.0,3.0,20.0,10.0,5.0,2.0,Female,Sales,Masters,Married,Clerk,No,Travel_Rarely,0,0.9090909090909091,0.45454545454545453,0.0007541478129713424,equal,equal,0.48325892857142855,Moderate,40-50,66.0
39.0,24.0,10973.0,3.0,4.0,22.0,4.0,11.0,3.0,9.0,3.0,Male,Support,Masters,Single,Clerk,Yes,Non-Travel,0,0.4583333333333333,0.125,0.002004921170144901,greater,equal,0.48679678530424797,Close,30-40,96.0
30.0,14.0,19910.0,19.0,5.0,3.0,3.0,9.0,6.0,9.0,2.0,Female,Development,High School,Single,Executive,Yes,Non-Travel,0,0.6428571428571429,0.42857142857142855,0.00015067805123053743,greater,less,0.49280575539568344,Moderate,Under 30,42.0
35.0,31.0,2840.0,38.0,5.0,9.0,4.0,19.0,14.0,16.0,2.0,Female,Development,Masters,Single,Executive,No,Non-Travel,0,0.6129032258064516,0.45161290322580644,0.0031690140845070424,greater,less,0.49280575539568344,Very Far,30-40,124.0
50.0,13.0,19725.0,34.0,2.0,19.0,4.0,3.0,0.0,0.0,3.0,Male,Sales,PhD,Married,Clerk,Yes,Travel_Rarely,0,0.23076923076923078,0.0,0.0009632446134347275,greater,greater,0.48325892857142855,Far,40-50,52.0
33.0,20.0,14299.0,9.0,3.0,9.0,1.0,18.0,9.0,11.0,4.0,Female,Support,High School,Single,Manager,Yes,Travel_Rarely,1,0.9,0.45,0.0006294146443807259,equal,greater,0.48679678530424797,Close,30-40,20.0
62.0,6.0,19884.0,30.0,1.0,7.0,3.0,2.0,1.0,0.0,4.0,Male,Finance,High School,Married,Engineer,No,Travel_Frequently,0,0.3333333333333333,0.16666666666666666,0.000352041842687588,greater,greater,0.5064177362893816,Far,50+,18.0
59.0,35.0,7559.0,32.0,5.0,13.0,4.0,12.0,2.0,12.0,2.0,Male,HR,PhD,Single,Manager,Yes,Travel_Frequently,0,0.34285714285714286,0.05714285714285714,0.0017198042069056754,less,less,0.47465437788018433,Far,50+,140.0
61.0,20.0,7926.0,13.0,3.0,3.0,3.0,8.0,0.0,0.0,3.0,Male,Sales,Masters,Single,Executive,Yes,Travel_Frequently,0,0.4,0.0,0.0003785011355034065,greater,greater,0.48325892857142855,Close,50+,60.0
19.0,39.0,10707.0,18.0,3.0,19.0,1.0,7.0,4.0,5.0,4.0,Female,Development,Masters,Divorced,Manager,No,Non-Travel,1,0.1794871794871795,0.10256410256410256,0.0017745400205473054,equal,greater,0.49280575539568344,Moderate,Under 30,39.0
52.0,11.0,18175.0,44.0,1.0,2.0,1.0,7.0,5.0,0.0,4.0,Male,Support,PhD,Divorced,Technician,Yes,Non-Travel,1,0.6363636363636364,0.45454545454545453,0.00011004126547455296,greater,greater,0.48679678530424797,Very Far,50+,11.0
59.0,14.0,13654.0,22.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,Male,Support,Masters,Single,Technician,No,Travel_Rarely,1,0.2857142857142857,0.14285714285714285,0.00014647722279185587,equal,equal,0.48679678530424797,Moderate,50+,42.0
51.0,14.0,15991.0,4.0,4.0,3.0,1.0,9.0,8.0,1.0,1.0,Male,Sales,PhD,Married,Executive,Yes,Travel_Rarely,1,0.6428571428571429,0.5714285714285714,0.00018760552810956162,equal,less,0.48325892857142855,Close,50+,14.0
47.0,16.0,13271.0,23.0,4.0,11.0,4.0,14.0,3.0,8.0,4.0,Female,Finance,Masters,Single,Manager,No,Travel_Frequently,1,0.875,0.1875,0.0008288749905809661,equal,greater,0.5064177362893816,Moderate,40-50,64.0
30.0,33.0,9675.0,7.0,5.0,17.0,3.0,20.0,7.0,15.0,4.0,Female,Development,Masters,Divorced,Engineer,Yes,Travel_Rarely,0,0.6060606060606061,0.21212121212121213,0.0017571059431524547,greater,greater,0.49280575539568344,Close,Under 30,99.0
30.0,34.0,11339.0,44.0,5.0,18.0,4.0,0.0,0.0,0.0,3.0,Female,Sales,PhD,Single,Executive,Yes,Non-Travel,1,0.0,0.0,0.0015874415733309816,greater,greater,0.48325892857142855,Very Far,Under 30,136.0
49.0,37.0,5656.0,39.0,4.0,17.0,2.0,2.0,1.0,2.0,3.0,Female,Support,Masters,Single,Executive,No,Travel_Rarely,0,0.05405405405405406,0.02702702702702703,0.003005657708628006,greater,equal,0.48679678530424797,Very Far,40-50,74.0
49.0,13.0,11740.0,42.0,5.0,13.0,4.0,7.0,5.0,5.0,4.0,Male,HR,PhD,Single,Manager,Yes,Travel_Rarely,1,0.5384615384615384,0.38461538461538464,0.0011073253833049405,equal,equal,0.47465437788018433,Very Far,40-50,52.0
52.0,4.0,5155.0,41.0,5.0,10.0,4.0,3.0,3.0,0.0,3.0,Male,Development,Masters,Married,Manager,No,Travel_Rarely,0,0.75,0.75,0.0019398642095053346,less,equal,0.49280575539568344,Very Far,50+,16.0
56.0,29.0,2978.0,34.0,4.0,13.0,3.0,1.0,0.0,0.0,2.0,Female,Development,Bachelors,Divorced,Manager,No,Travel_Rarely,0,0.034482758620689655,0.0,0.004365345869711216,less,less,0.49280575539568344,Far,50+,87.0
63.0,3.0,12497.0,5.0,4.0,21.0,3.0,2.0,2.0,0.0,2.0,Male,Finance,High School,Divorced,Clerk,Yes,Travel_Frequently,0,0.6666666666666666,0.6666666666666666,0.0016804032967912298,equal,equal,0.5064177362893816,Close,50+,9.0
46.0,14.0,14075.0,42.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,Female,Sales,High School,Divorced,Manager,No,Travel_Frequently,0,0.35714285714285715,0.35714285714285715,0.00014209591474245115,less,greater,0.48325892857142855,Very Far,40-50,56.0
46.0,38.0,4589.0,25.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,Male,Support,Masters,Married,Technician,Yes,Non-Travel,1,0.0,0.0,0.00021791239921551536,greater,greater,0.48679678530424797,Moderate,40-50,38.0
33.0,9.0,4508.0,14.0,2.0,7.0,2.0,3.0,3.0,0.0,4.0,Male,HR,Masters,Married,Clerk,Yes,Travel_Rarely,0,0.3333333333333333,0.3333333333333333,0.0015527950310559005,greater,equal,0.47465437788018433,Moderate,30-40,18.0
61.0,1.0,14511.0,27.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,Male,HR,PhD,Single,Technician,No,Travel_Frequently,0,0.0,0.0,0.0002756529529322583,equal,less,0.47465437788018433,Far,50+,1.0
64.0,23.0,19577.0,16.0,2.0,8.0,1.0,10.0,8.0,2.0,1.0,Male,HR,Bachelors,Married,Technician,Yes,Non-Travel,1,0.43478260869565216,0.34782608695652173,0.0004086427951167186,less,less,0.47465437788018433,Moderate,50+,23.0
27.0,27.0,7915.0,27.0,3.0,4.0,3.0,1.0,0.0,1.0,2.0,Male,Finance,High School,Married,Executive,Yes,Travel_Frequently,0,0.037037037037037035,0.0,0.0005053695514845231,greater,equal,0.5064177362893816,Far,Under 30,81.0
47.0,21.0,4045.0,2.0,3.0,20.0,3.0,9.0,5.0,6.0,3.0,Male,Support,High School,Divorced,Manager,No,Non-Travel,0,0.42857142857142855,0.23809523809523808,0.004944375772558714,less,equal,0.48679678530424797,Close,40-50,63.0
42.0,31.0,10439.0,19.0,2.0,12.0,4.0,3.0,1.0,0.0,1.0,Female,Development,PhD,Married,Executive,No,Non-Travel,0,0.0967741935483871,0.03225806451612903,0.0011495353961107385,equal,less,0.49280575539568344,Moderate,40-50,124.0
56.0,30.0,11576.0,23.0,3.0,10.0,4.0,13.0,12.0,11.0,1.0,Male,Sales,Bachelors,Single,Executive,Yes,Non-Travel,1,0.43333333333333335,0.4,0.0008638562543192813,equal,less,0.48325892857142855,Moderate,50+,120.0
37.0,18.0,11564.0,41.0,1.0,10.0,3.0,14.0,8.0,7.0,3.0,Female,Development,Bachelors,Married,Technician,No,Travel_Rarely,0,0.7777777777777778,0.4444444444444444,0.0008647526807333103,equal,equal,0.49280575539568344,Very Far,30-40,54.0
22.0,20.0,13105.0,14.0,2.0,19.0,4.0,11.0,1.0,10.0,1.0,Female,Support,Bachelors,Married,Engineer,Yes,Non-Travel,0,0.55,0.05,0.0014498283098054179,equal,less,0.48679678530424797,Moderate,Under 30,80.0
18.0,2.0,17765.0,47.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,Female,Development,PhD,Single,Manager,Yes,Travel_Frequently,0,0.0,0.0,0.0006191950464396285,less,less,0.49280575539568344,Very Far,Under 30,2.0
47.0,5.0,16793.0,26.0,2.0,18.0,4.0,1.0,1.0,1.0,1.0,Male,Finance,High School,Divorced,Engineer,No,Travel_Frequently,1,0.2,0.2,0.001071875186089442,equal,less,0.5064177362893816,Far,40-50,20.0
20.0,31.0,16921.0,8.0,1.0,12.0,1.0,1.0,1.0,0.0,2.0,Male,HR,High School,Single,Technician,No,Travel_Frequently,1,0.03225806451612903,0.03225806451612903,0.000709177944565924,less,less,0.47465437788018433,Close,Under 30,31.0
62.0,1.0,9181.0,27.0,1.0,8.0,3.0,0.0,0.0,0.0,1.0,Male,Support,Bachelors,Single,Clerk,No,Non-Travel,0,0.0,0.0,0.0008713647750789674,less,less,0.48679678530424797,Far,50+,3.0
31.0,23.0,2044.0,47.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,Female,Support,PhD,Single,Executive,Yes,Non-Travel,0,0.13043478260869565,0.08695652173913043,0.0014677103718199608,equal,less,0.48679678530424797,Very Far,30-40,92.0
47.0,26.0,6511.0,40.0,1.0,6.0,1.0,7.0,2.0,5.0,3.0,Male,Development,PhD,Married,Technician,No,Travel_Rarely,1,0.2692307692307692,0.07692307692307693,0.0009215174320380894,equal,equal,0.49280575539568344,Very Far,40-50,26.0
21.0,8.0,17421.0,28.0,4.0,4.0,2.0,3.0,2.0,0.0,3.0,Male,Finance,PhD,Married,Technician,No,Non-Travel,1,0.375,0.25,0.00022960794443487744,equal,greater,0.5064177362893816,Far,Under 30,16.0
35.0,12.0,9775.0,4.0,5.0,6.0,2.0,9.0,5.0,0.0,2.0,Female,Development,Bachelors,Single,Engineer,No,Travel_Frequently,0,0.75,0.4166666666666667,0.0006138107416879795,greater,less,0.49280575539568344,Close,30-40,24.0
54.0,13.0,12707.0,38.0,2.0,7.0,2.0,4.0,4.0,2.0,3.0,Female,Development,PhD,Single,Clerk,Yes,Travel_Rarely,0,0.3076923076923077,0.3076923076923077,0.0005508774691115134,greater,equal,0.49280575539568344,Very Far,50+,26.0
42.0,10.0,15372.0,11.0,3.0,13.0,1.0,3.0,2.0,2.0,2.0,Female,Support,Bachelors,Divorced,Executive,No,Travel_Frequently,0,0.3,0.2,0.0008456934686442883,greater,less,0.48679678530424797,Close,40-50,10.0
18.0,13.0,9948.0,44.0,3.0,23.0,4.0,7.0,0.0,4.0,1.0,Female,Development,Bachelors,Married,Clerk,No,Travel_Rarely,0,0.5384615384615384,0.0,0.002312022517088862,less,less,0.49280575539568344,Very Far,Under 30,52.0
63.0,15.0,13079.0,24.0,3.0,9.0,2.0,13.0,8.0,1.0,1.0,Female,HR,Bachelors,Married,Clerk,Yes,Non-Travel,1,0.8666666666666667,0.5333333333333333,0.0006881260035170885,less,less,0.47465437788018433,Moderate,50+,30.0
32.0,9.0,10216.0,28.0,3.0,5.0,3.0,7.0,1.0,1.0,1.0,Female,Development,Masters,Married,Clerk,No,Travel_Rarely,0,0.7777777777777778,0.1111111111111111,0.0004894283476898982,less,less,0.49280575539568344,Far,30-40,27.0
26.0,19.0,12006.0,41.0,2.0,4.0,3.0,3.0,0.0,0.0,3.0,Male,HR,Bachelors,Married,Manager,Yes,Non-Travel,0,0.15789473684210525,0.0,0.0003331667499583542,less,less,0.47465437788018433,Very Far,Under 30,57.0
32.0,15.0,3225.0,18.0,3.0,14.0,3.0,8.0,0.0,3.0,2.0,Female,Support,PhD,Single,Clerk,No,Non-Travel,0,0.5333333333333333,0.0,0.004341085271317829,equal,less,0.48679678530424797,Moderate,30-40,45.0
41.0,33.0,3248.0,49.0,2.0,15.0,2.0,21.0,7.0,1.0,3.0,Male,Finance,Masters,Single,Technician,Yes,Travel_Frequently,1,0.6363636363636364,0.21212121212121213,0.004618226600985222,equal,greater,0.5064177362893816,Very Far,40-50,66.0
21.0,15.0,17869.0,21.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,Male,HR,High School,Divorced,Manager,Yes,Non-Travel,1,0.26666666666666666,0.06666666666666667,5.59628406737926e-05,less,less,0.47465437788018433,Moderate,Under 30,30.0
29.0,13.0,7698.0,26.0,3.0,14.0,4.0,2.0,1.0,2.0,2.0,Male,Finance,High School,Married,Manager,Yes,Non-Travel,0,0.15384615384615385,0.07692307692307693,0.0018186541958950377,less,equal,0.5064177362893816,Far,Under 30,52.0
54.0,27.0,19966.0,3.0,5.0,7.0,1.0,23.0,16.0,14.0,2.0,Female,Finance,PhD,Married,Clerk,No,Non-Travel,1,0.8518518518518519,0.5925925925925926,0.00035059601322247824,equal,equal,0.5064177362893816,Close,50+,27.0
54.0,17.0,6848.0,13.0,4.0,20.0,3.0,8.0,7.0,1.0,4.0,Male,HR,PhD,Single,Technician,No,Travel_Frequently,0,0.47058823529411764,0.4117647058823529,0.0029205607476635513,greater,equal,0.47465437788018433,Close,50+,51.0
60.0,25.0,11905.0,38.0,1.0,23.0,4.0,15.0,7.0,4.0,4.0,Female,Support,PhD,Divorced,Executive,Yes,Non-Travel,1,0.6,0.28,0.0019319613607727845,greater,greater,0.48679678530424797,Very Far,50+,100.0
23.0,37.0,13783.0,28.0,1.0,21.0,1.0,2.0,2.0,2.0,4.0,Female,Sales,PhD,Single,Clerk,No,Travel_Frequently,0,0.05405405405405406,0.05405405405405406,0.0015236160487557136,greater,greater,0.48325892857142855,Far,Under 30,37.0
56.0,6.0,15388.0,14.0,1.0,23.0,2.0,6.0,1.0,0.0,2.0,Male,Finance,Masters,Married,Manager,No,Travel_Rarely,0,1.0,0.16666666666666666,0.0014946711723420848,less,equal,0.5064177362893816,Moderate,50+,12.0
63.0,33.0,5138.0,1.0,4.0,12.0,1.0,21.0,14.0,3.0,1.0,Female,Finance,PhD,Married,Executive,No,Travel_Frequently,1,0.6363636363636364,0.42424242424242425,0.0023355391202802647,equal,less,0.5064177362893816,Close,50+,33.0
41.0,6.0,19901.0,28.0,2.0,16.0,3.0,2.0,2.0,0.0,3.0,Male,Support,Bachelors,Divorced,Executive,Yes,Travel_Frequently,1,0.3333333333333333,0.3333333333333333,0.0008039796995125873,greater,equal,0.48679678530424797,Far,40-50,18.0
28.0,32.0,12924.0,36.0,1.0,14.0,1.0,0.0,0.0,0.0,3.0,Male,Support,High School,Single,Manager,No,Non-Travel,1,0.0,0.0,0.0010832559579077685,less,equal,0.48679678530424797,Far,Under 30,32.0
30.0,34.0,6642.0,11.0,1.0,24.0,1.0,19.0,14.0,10.0,4.0,Female,Development,PhD,Married,Executive,Yes,Travel_Frequently,0,0.5588235294117647,0.4117647058823529,0.0036133694670280035,greater,greater,0.49280575539568344,Close,Under 30,34.0
51.0,38.0,7196.0,43.0,1.0,13.0,2.0,16.0,10.0,13.0,1.0,Male,Support,Bachelors,Married,Technician,Yes,Travel_Rarely,1,0.42105263157894735,0.2631578947368421,0.0018065591995553086,less,less,0.48679678530424797,Very Far,50+,76.0
42.0,20.0,13155.0,40.0,2.0,24.0,2.0,12.0,9.0,7.0,2.0,Male,Finance,PhD,Divorced,Technician,No,Travel_Frequently,0,0.6,0.45,0.0018244013683010262,less,equal,0.5064177362893816,Very Far,40-50,40.0
24.0,27.0,14055.0,4.0,4.0,18.0,4.0,17.0,6.0,8.0,3.0,Male,HR,Bachelors,Married,Clerk,No,Non-Travel,0,0.6296296296296297,0.2222222222222222,0.0012806830309498398,greater,less,0.47465437788018433,Close,Under 30,108.0
21.0,31.0,8198.0,34.0,4.0,12.0,2.0,2.0,1.0,1.0,1.0,Female,Sales,Masters,Married,Clerk,Yes,Travel_Rarely,1,0.06451612903225806,0.03225806451612903,0.001463771651622347,less,less,0.48325892857142855,Far,Under 30,62.0
25.0,15.0,10072.0,1.0,2.0,20.0,2.0,13.0,5.0,12.0,3.0,Male,Development,High School,Single,Executive,No,Non-Travel,0,0.8666666666666667,0.3333333333333333,0.0019857029388403494,greater,equal,0.49280575539568344,Close,Under 30,30.0
37.0,9.0,17965.0,10.0,5.0,6.0,3.0,4.0,0.0,1.0,3.0,Female,HR,High School,Divorced,Manager,No,Non-Travel,0,0.4444444444444444,0.0,0.00033398274422488173,less,less,0.47465437788018433,Close,30-40,27.0
46.0,22.0,11688.0,17.0,3.0,7.0,3.0,14.0,10.0,6.0,3.0,Female,Sales,Masters,Divorced,Technician,Yes,Travel_Frequently,0,0.6363636363636364,0.45454545454545453,0.0005989048596851471,equal,greater,0.48325892857142855,Moderate,40-50,66.0
62.0,14.0,13919.0,7.0,2.0,6.0,1.0,7.0,7.0,6.0,2.0,Male,Sales,Bachelors,Divorced,Engineer,No,Non-Travel,0,0.5,0.5,0.00043106545010417415,greater,equal,0.48325892857142855,Close,50+,14.0
63.0,5.0,11927.0,39.0,3.0,18.0,3.0,2.0,0.0,1.0,2.0,Male,Sales,PhD,Single,Clerk,Yes,Travel_Rarely,1,0.4,0.0,0.001509180850171879,equal,equal,0.48325892857142855,Very Far,50+,15.0
27.0,32.0,16059.0,13.0,4.0,14.0,4.0,31.0,2.0,10.0,3.0,Female,HR,Bachelors,Divorced,Technician,Yes,Travel_Rarely,0,0.96875,0.0625,0.0008717852917367209,equal,less,0.47465437788018433,Close,Under 30,128.0
51.0,11.0,19727.0,1.0,1.0,16.0,1.0,1.0,0.0,1.0,1.0,Male,Development,Masters,Divorced,Technician,Yes,Travel_Rarely,1,0.09090909090909091,0.0,0.0008110711207989051,less,less,0.49280575539568344,Close,50+,11.0
43.0,35.0,7490.0,28.0,3.0,20.0,4.0,19.0,0.0,3.0,1.0,Male,Sales,Masters,Married,Technician,No,Travel_Frequently,0,0.5428571428571428,0.0,0.0026702269692923898,less,less,0.48325892857142855,Far,40-50,140.0
58.0,30.0,18432.0,33.0,3.0,24.0,4.0,22.0,12.0,6.0,3.0,Female,HR,Bachelors,Divorced,Executive,No,Travel_Rarely,0,0.7333333333333333,0.4,0.0013020833333333333,greater,less,0.47465437788018433,Far,50+,120.0
20.0,9.0,7916.0,13.0,4.0,17.0,2.0,7.0,1.0,6.0,4.0,Female,Sales,Bachelors,Divorced,Clerk,No,Travel_Frequently,0,0.7777777777777778,0.1111111111111111,0.0021475492673067205,greater,greater,0.48325892857142855,Close,Under 30,18.0
22.0,9.0,3746.0,38.0,3.0,24.0,4.0,3.0,3.0,0.0,2.0,Female,Development,High School,Divorced,Engineer,Yes,Non-Travel,1,0.3333333333333333,0.3333333333333333,0.006406833956219968,greater,less,0.49280575539568344,Very Far,Under 30,36.0
22.0,10.0,10170.0,25.0,4.0,2.0,1.0,4.0,1.0,4.0,2.0,Female,Finance,PhD,Divorced,Engineer,Yes,Travel_Frequently,1,0.4,0.1,0.00019665683382497542,greater,equal,0.5064177362893816,Moderate,Under 30,10.0
64.0,13.0,2633.0,42.0,1.0,23.0,4.0,7.0,3.0,4.0,1.0,Male,Sales,PhD,Single,Clerk,No,Non-Travel,0,0.5384615384615384,0.23076923076923078,0.008735282947208508,less,less,0.48325892857142855,Very Far,50+,52.0
40.0,2.0,14889.0,21.0,3.0,21.0,3.0,1.0,1.0,0.0,4.0,Female,Support,Bachelors,Married,Clerk,No,Non-Travel,1,0.5,0.5,0.0014104372355430183,greater,greater,0.48679678530424797,Moderate,30-40,6.0
26.0,32.0,18559.0,33.0,3.0,6.0,1.0,5.0,5.0,3.0,3.0,Female,Development,Masters,Divorced,Clerk,Yes,Travel_Rarely,0,0.15625,0.15625,0.0003232932808879789,greater,equal,0.49280575539568344,Far,Under 30,32.0
52.0,6.0,17140.0,37.0,1.0,20.0,3.0,5.0,4.0,1.0,1.0,Male,HR,Masters,Divorced,Clerk,No,Non-Travel,1,0.8333333333333334,0.6666666666666666,0.0011668611435239206,less,less,0.47465437788018433,Far,50+,18.0
37.0,3.0,10152.0,34.0,2.0,9.0,1.0,1.0,0.0,1.0,2.0,Male,Development,Masters,Married,Technician,No,Non-Travel,1,0.3333333333333333,0.0,0.0008865248226950354,less,less,0.49280575539568344,Far,30-40,3.0
59.0,38.0,17718.0,3.0,5.0,6.0,3.0,18.0,6.0,1.0,4.0,Female,HR,High School,Single,Engineer,Yes,Travel_Frequently,1,0.47368421052631576,0.15789473684210525,0.0003386386725364037,greater,equal,0.47465437788018433,Close,50+,114.0
52.0,9.0,6392.0,30.0,1.0,10.0,2.0,7.0,3.0,0.0,3.0,Female,HR,Bachelors,Divorced,Executive,Yes,Travel_Rarely,1,0.7777777777777778,0.3333333333333333,0.0015644555694618273,greater,less,0.47465437788018433,Far,50+,18.0
35.0,14.0,7379.0,3.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,Male,Sales,Bachelors,Single,Manager,Yes,Non-Travel,0,0.14285714285714285,0.07142857142857142,0.0002710394362379726,less,equal,0.48325892857142855,Close,30-40,42.0
34.0,15.0,10666.0,18.0,1.0,20.0,4.0,6.0,6.0,6.0,3.0,Female,Sales,Bachelors,Married,Executive,No,Non-Travel,1,0.4,0.4,0.0018751171948246765,greater,greater,0.48325892857142855,Moderate,30-40,60.0
41.0,37.0,11838.0,23.0,2.0,21.0,2.0,19.0,14.0,14.0,3.0,Female,Development,High School,Married,Manager,No,Travel_Frequently,1,0.5135135135135135,0.3783783783783784,0.0017739483020780538,less,equal,0.49280575539568344,Moderate,40-50,74.0
20.0,3.0,3958.0,8.0,1.0,8.0,3.0,0.0,0.0,0.0,4.0,Male,Support,Bachelors,Single,Technician,No,Non-Travel,1,0.0,0.0,0.00202122283981809,greater,greater,0.48679678530424797,Close,Under 30,9.0
49.0,3.0,8679.0,9.0,2.0,3.0,2.0,1.0,1.0,0.0,3.0,Female,Development,PhD,Married,Engineer,Yes,Travel_Rarely,0,0.3333333333333333,0.3333333333333333,0.0003456619426201175,greater,equal,0.49280575539568344,Close,40-50,6.0
52.0,35.0,17921.0,2.0,5.0,7.0,2.0,9.0,7.0,9.0,2.0,Male,Finance,Bachelors,Married,Manager,Yes,Travel_Rarely,0,0.2571428571428571,0.2,0.0003906032029462642,less,equal,0.5064177362893816,Close,50+,70.0
55.0,26.0,15348.0,2.0,2.0,23.0,4.0,5.0,0.0,3.0,3.0,Male,HR,Bachelors,Divorced,Clerk,Yes,Travel_Rarely,0,0.19230769230769232,0.0,0.0014985665884805837,greater,less,0.47465437788018433,Close,50+,104.0
64.0,21.0,7884.0,48.0,5.0,11.0,2.0,20.0,6.0,9.0,1.0,Male,Sales,High School,Divorced,Manager,No,Travel_Rarely,0,0.9523809523809523,0.2857142857142857,0.0013952308472856417,less,less,0.48325892857142855,Very Far,50+,42.0
42.0,16.0,14312.0,39.0,5.0,7.0,4.0,4.0,4.0,4.0,1.0,Female,Support,PhD,Single,Clerk,Yes,Travel_Rarely,1,0.25,0.25,0.0004891000558971492,less,less,0.48679678530424797,Very Far,40-50,64.0
26.0,33.0,10828.0,36.0,4.0,14.0,1.0,29.0,16.0,3.0,2.0,Male,Sales,PhD,Divorced,Technician,No,Travel_Rarely,1,0.8787878787878788,0.48484848484848486,0.0012929442186922792,less,equal,0.48325892857142855,Far,Under 30,33.0
21.0,31.0,5820.0,5.0,5.0,13.0,1.0,12.0,10.0,5.0,3.0,Female,Finance,Masters,Married,Manager,Yes,Travel_Rarely,1,0.3870967741935484,0.3225806451612903,0.002233676975945017,less,greater,0.5064177362893816,Close,Under 30,31.0
31.0,5.0,6322.0,1.0,2.0,4.0,2.0,4.0,1.0,3.0,1.0,Female,Development,Masters,Single,Clerk,No,Travel_Rarely,0,0.8,0.2,0.0006327111673521037,less,less,0.49280575539568344,Close,30-40,10.0
51.0,7.0,14325.0,10.0,1.0,19.0,2.0,2.0,1.0,1.0,3.0,Female,Support,Bachelors,Single,Technician,No,Travel_Frequently,0,0.2857142857142857,0.14285714285714285,0.0013263525305410122,equal,equal,0.48679678530424797,Close,50+,14.0
58.0,4.0,19588.0,24.0,3.0,21.0,4.0,0.0,0.0,0.0,3.0,Male,Sales,Bachelors,Married,Clerk,Yes,Non-Travel,1,0.0,0.0,0.001072084949969369,greater,greater,0.48325892857142855,Moderate,50+,16.0
20.0,4.0,8449.0,15.0,5.0,14.0,3.0,1.0,1.0,1.0,4.0,Male,Finance,High School,Married,Engineer,No,Travel_Frequently,0,0.25,0.25,0.0016570008285004142,greater,greater,0.5064177362893816,Moderate,Under 30,12.0
45.0,9.0,19587.0,33.0,3.0,24.0,1.0,7.0,7.0,0.0,1.0,Male,Development,Bachelors,Married,Clerk,Yes,Non-Travel,0,0.7777777777777778,0.7777777777777778,0.0012253024965538366,less,less,0.49280575539568344,Far,40-50,9.0
46.0,39.0,2982.0,23.0,5.0,12.0,2.0,5.0,4.0,2.0,4.0,Male,Sales,High School,Divorced,Engineer,No,Non-Travel,0,0.1282051282051282,0.10256410256410256,0.004024144869215292,greater,greater,0.48325892857142855,Moderate,40-50,78.0
26.0,6.0,10923.0,14.0,5.0,3.0,2.0,6.0,3.0,1.0,3.0,Female,Support,PhD,Married,Manager,Yes,Travel_Rarely,1,1.0,0.5,0.00027464982147761604,less,equal,0.48679678530424797,Moderate,Under 30,12.0
20.0,11.0,16989.0,18.0,2.0,21.0,4.0,2.0,0.0,0.0,4.0,Male,Development,Bachelors,Divorced,Clerk,Yes,Non-Travel,0,0.18181818181818182,0.0,0.0012360939431396785,greater,greater,0.49280575539568344,Moderate,Under 30,44.0
51.0,24.0,16396.0,22.0,1.0,12.0,3.0,23.0,10.0,0.0,1.0,Female,Support,Masters,Married,Executive,No,Non-Travel,1,0.9583333333333334,0.4166666666666667,0.0007318858258111735,equal,less,0.48679678530424797,Moderate,50+,72.0
